Fonte,Título,Link
Globo Rural,"Julho começa com nova frente fria, risco de geada e termômetro abaixo de zero no Sul",https://globorural.globo.com/previsao-do-tempo/noticia/2025/06/julho-comeca-com-nova-frente-fria-risco-de-geada-e-termometro-abaixo-de-zero-no-sul.ghtml
Globo Rural,Parceria com BNDES levanta R$ 299 milhões a agricultura familiar na Bahia,https://globorural.globo.com/agricultura-familiar/noticia/2025/06/parceria-com-bndes-levanta-r-299-milhoes-a-agricultura-familiar-na-bahia.ghtml
Globo Rural,Livro brasileiro sobre cachaça conquista prêmios no “Oscar da Gastronomia”,https://globorural.globo.com/cultura/noticia/2025/06/livro-brasileiro-sobre-cachaa-conquista-prmios-no-oscar-da-gastronomia.ghtml
Globo Rural,Acre inaugura maior complexo de café da agricultura familiar da região Norte,https://globorural.globo.com/agricultura/cafe/noticia/2025/06/acre-inaugura-maior-complexo-de-cafe-da-agricultura-familiar-da-regiao-norte.ghtml
Globo Rural,Estudante cria bandejas biodegradáveis com casca de mandioca e galhos de araucária,https://globorural.globo.com/sustentabilidade/noticia/2025/06/estudante-cria-bandejas-biodegradaveis-com-casca-de-mandioca-e-galhos-de-araucaria.ghtml
Globo Rural,"Agricultura não é vilã e sim parte da solução dos desafios climáticos, diz diretor do IICA",https://globorural.globo.com/especiais/um-so-planeta/noticia/2025/06/agricultura-nao-e-vila-e-sim-parte-da-solucao-dos-desafios-climaticos-diz-diretor-do-iica.ghtml
Globo Rural,Empresa de máquinas agrícolas espera aumento de 10% nos recursos do Plano Safra da agricultura familiar,https://globorural.globo.com/credito-e-investimento/noticia/2025/06/empresa-de-maquinas-agricolas-espera-aumento-de-10percent-nos-recursos-do-plano-safra-da-agricultura-familiar.ghtml
Globo Rural,Pão com farinha de insetos? Pesquisa no México cria alimento mais proteico,https://globorural.globo.com/cultura/noticia/2025/06/pao-com-farinha-de-insetos-pesquisa-no-mexico-cria-alimento-mais-proteico.ghtml
Globo Rural,Jovem pesquisa combate aos efeitos do clima em plantas de soja,https://globorural.globo.com/tecnologia-e-inovacao/noticia/2025/06/jovem-pesquisa-combate-aos-efeitos-do-clima-em-plantas-de-soja.ghtml
Globo Rural,Como fazer frango teriyaki,https://globorural.globo.com/vida-na-fazenda/receitas/noticia/2025/06/como-fazer-frango-teriyaki.ghtml
Canal Rural,"CURIOSIDADETudo começou com uma galinha! Filme brasileiro é eleito o 15º melhor do século 

Lançado em 2002, Cidade de Deus foi reconhecido por um júri de mais de 500 especialistas em cinema como uma das 100 maiores obras da sétima arte",https://www.canalrural.com.br/entretenimento/tudo-comecou-com-uma-galinha-filme-brasileiro-e-eleito-o-15o-melhor-do-seculo/
Canal Rural,"ORIENTE MÉDIOConflitos pressionam economia, mas inflação global deve ser limitada 

Economista avalia que confronto entre Irã e Israel pressiona o petróleo, mas risco de inflação global segue baixo. Para o Brasil, impacto é indireto",https://www.canalrural.com.br/economia/conflitos-pressionam-economia-mas-inflacao-global-deve-ser-limitada/
Canal Rural,"SERTÃO VIVOContrato de quase R$ 300 milhões deve beneficiar agricultura familiar na Bahia 

Iniciativa do BNDES em parceria com o governo do estado pretende beneficiar 75 mil famílias em 49 municípios",https://www.canalrural.com.br/agricultura/contrato-de-quase-r-300-milhoes-deve-beneficiar-agricultura-familiar-na-bahia/
Canal Rural,"ENGAJAMENTOProdutores precisam assumir o protagonismo no Pacto do Pantanal, defende ABPO 

Diretor da entidade defendeu a necessidade de produtores do bioma estamparem em seus produtos que eles são carbono neutro",https://www.canalrural.com.br/sustentabilidade/produtores-precisam-assumir-o-protagonismo-no-pacto-do-pantanal-defende-abpo/
Canal Rural,"DE VOLTA AO LARAves são reintroduzidos à natureza em áreas de usinas de açúcar e álcool 

Após dois anos em um viveiro de 8 metros de altura, papagaios-chauá e outras espécies foram levadas à mata em locais onde já estavam extintas",https://www.canalrural.com.br/sustentabilidade/aves-sao-reintroduzidos-a-natureza-em-areas-de-usinas-de-acucar-e-alcool-alagoanas/
AgroLink,Transportadores “comemoram” suspensão do reajuste de IOF,https://www.agrolink.com.br/noticias/transportadores--comemoram--suspensao-do-reajuste-de-iof_503411.html
AgroLink,Guaíba pode voltar à cota de inundação no domingo (29),https://www.agrolink.com.br/noticias/guaiba-pode-voltar-a-cota-de-inundacao-no-domingo--29---alerta-iph-ufrgs_503410.html
AgroLink,SP amplia acesso a crédito rural para compra de tratores,https://www.agrolink.com.br/noticias/sao-paulo-amplia-acesso-a-credito-rural-para-compra-de-tratores_503409.html
AgroLink,Produção de mel sofre perdas com o inverno gaúcho,https://www.agrolink.com.br/noticias/producao-de-mel-sofre-perdas-com-o-inverno-gaucho_503407.html
AgroLink,Lavouras de trigo têm bom desempenho no Paraná,https://www.agrolink.com.br/noticias/lavouras-de-trigo-tem-bom-desempenho-no-parana_503406.html
